Question	Answer
Hi	Welcome to the QnA Factbot!	
What NFL team has won the most Super Bowls?	The Pittsburgh Steelers have won 6 Super Bowls out of 8 appearances, making them the team with the most Super Bowl wins.
What movies have won the most Academy Awards?	Ben-Hur (1959), Titanic (1997), The Lord of the Rings: The Return of the King (2003) have all received 11 Academy awards.
What's the largest city in the world?	Tokyo-Yokohama, Japan is the largest city in the world, with a population of almost 40 million people.
What's the busiest airport in the world?	Hartsfield-Jackson Atlanta International Airport in Atlanta, Georgia currently serves over 100 million passengers every year.
What's the tallest building in the world?	The Burj Khalifa, or 'Khalifa Tower', is a megatall skyscraper in Dubai, United Arab Emirates boasting a height of 2,722 feet.
What's the fastest sea animal?	The fastest animal in the sea is the black marlin, which has a recorded speed of 80 mph.
What television show has won the most Emmy Awards?	Over the course of 41 seasons, Saturday Night Live has raked in the most Emmys ever, at 44 wins and 199 nominations, in a multitude of categories.
What drama series has won the most Emmy awards ever?	The phenomenal fantasy saga Game of Thrones boasts almost 40 Emmy Awards and over 100 nominations.
What's the largest carnivore in the world?	The Southern Sea Elephant is the largest carnivorous animal in the world with sizes of up to 11,000 lbs.
What's the top selling music album of all time?	Michael Jackson's Thriller, released in 1982, holds the title for most sales, at a staggering 46 million copies sold to date.
What's the best selling multiplatform game of all time.	Tetris, originally released in 1984, has currently sold almost half a billion units worldwide.
What's the top selling music artist of all time?	The Beatles have currently sold approximately 600 million albums worldwide, with a career spanning only 10 years.
What's the highest grossing movie of all time?	The highest grossing movie of all time was Avatar at a record $2,787,965,087 worldwide.
What's the best selling pickup truck of all time?	Over 34,000,000 people have purchased a Ford F-150 series vehicle, and the Ford F-150 has been America's bestselling vehicle for 30 consecutive years.
What book has sold the most copies?	Written in 1612, Don Quixote, by author Miguel de Cervantes, has sold over 500 million copies to date.
What's the best selling gaming console of all time?	The Sony PlayStation 2, released in 2000, has sold over 150 million units to date.
What author has sold the most novels?	British mystery writer Agatha Christie has racked up approximately 4 billion (U.S.) is sales, over a career spanning almost 90 'whodunit' novels.
Who is the richest person in the world?	According to the Forbes 2017 list, 'The World's Billionaires', Bill Gates is the richest person in the world with an estimated net worth of $81 billion.
Who is the highest paid celebrity in the world?	29 year old pop musician Taylor Swift earned approximately 172 million dollars in 2017.
What's the most popular software programming language in the world?	In corporate environments, C# reigns supreme, where it's used by over 75% of businesses worldwide. Outside of corporate environments, Java and JavaScript still hold the numbers.
